,CUIs,concepts,tw_phrases
11649,C1261981,Urticaria localised,Urticaria localised
11650,C0009241,Cognition Disorders,Cognition Disorders
11651,C0497327,Dementia,Dementia
11652,C0595885,Serum potassium decreased,Serum potassium decreased
11653,C0595883,Blood glucose decreased,Blood glucose decreased
11654,C0011570,Mental Depression,Mental Depression
11655,C0392025,Enlargement abdomen,Enlargement abdomen
11656,C0024205,Lymphadenitis,Lymphadenitis
11657,C0267940,Pancreatitis haemorrhagic,Pancreatitis haemorrhagic
11658,C0007097,Carcinoma,Carcinoma
11659,C0476280,Musculoskeletal chest pain,Musculoskeletal chest pain
11660,C0476281,Non-cardiac chest pain,Non-cardiac chest pain
11661,C0332563,Papule,Papule
11662,C1112214,Vulvovaginal pruritus,Vulvovaginal pruritus
11663,C0233469,Blunted affect,Blunted affect
11664,C2364082,Hyposmia,Hyposmia
11665,C0000786,Spontaneous abortion,Spontaneous abortion
11666,C0239978,Frequent bowel movements,Frequent bowel movements
11667,C2748060,Hypopnea syndrome,Hypopnea syndrome
11668,C0851989,Bone and joint infections,Bone and joint infections
11669,C0427546,Atypical lymphocyte observed,Atypical lymphocyte observed
11670,C0549418,Urine flow decreased,Urine flow decreased
11671,C0424166,Social fear,Social fear
11672,C0750857,Alkaline phosphatase serum increased,Alkaline phosphatase serum increased
11673,C0001925,Albuminuria,Albuminuria
11674,C1608945,Exfoliative rash,Exfoliative rash
11675,C0010481,Cushing Syndrome,Cushing Syndrome
11676,C0267834,Hepatic cyst,Hepatic cyst
11677,C0011175,Dehydration,Dehydration
11678,C0007780,Cerebral Embolism,Cerebral Embolism
11679,C0007787,Transient Ischemic Attack,Transient Ischemic Attack
11680,C0020877,Ileitis,Ileitis
11681,C0007785,Cerebral Infarction,Cerebral Infarction
11682,C0040580,Tracheal Diseases,Tracheal Diseases
11683,C0040584,Tracheitis,Tracheitis
11684,C0240802,Pregnancy test positive,Pregnancy test positive
11685,C0020651,"Hypotension, Orthostatic","Hypotension, Orthostatic"
11686,C0580413,Prothrombin time shortened,Prothrombin time shortened
11687,C0206160,Reticulocytosis,Reticulocytosis
11688,C0580417,International normalised ratio abnormal,International normalised ratio abnormal
11689,C0026205,Miosis disorder,Miosis disorder
11690,C0162285,Edema of eyelid,Edema of eyelid
11691,C1720798,Radiation Recall Dermatitis,Radiation Recall Dermatitis
11692,C0162281,Corneal deposits,Corneal deposits
11693,C0001818,Agoraphobia,Agoraphobia
11694,C0085649,Peripheral edema,Peripheral edema
11695,C0338656,Impaired cognition,Impaired cognition
11696,C0549567,Pigmentation Disorders,Pigmentation Disorders
11697,C2711227,Steatohepatitis,Steatohepatitis
11698,C0748023,Bacterial prostatitis,Bacterial prostatitis
11699,C0221269,Pseudolymphoma,Pseudolymphoma
11700,C0036830,Serum Sickness,Serum Sickness
11701,C0541947,Excitation cerebral,Excitation cerebral
11702,C1611157,Hepatic infiltration eosinophilic,Hepatic infiltration eosinophilic
11703,C0008325,Cholecystitis,Cholecystitis
11704,C0005138,Berylliosis,Berylliosis
11705,C0429029,Electrocardiogram ST segment,Electrocardiogram ST segment
11706,C0586553,Thyrotropin high,Thyrotropin high
11707,C0262397,Breast tenderness,Breast tenderness
11708,C0085932,"Skin Diseases, Bullous","Skin Diseases, Bullous"
11709,C0235996,Hepatic enzyme increased,Hepatic enzyme increased
11710,C0262662,Ventricular bigeminy,Ventricular bigeminy
11711,C0853026,Porphyria non-acute,Porphyria non-acute
11712,C0027796,Neuralgia,Neuralgia
11713,C0033246,Proctitis,Proctitis
11714,C0162820,"Dermatitis, Allergic Contact","Dermatitis, Allergic Contact"
11715,C0008031,Chest Pain,Chest Pain
11716,C0008035,Chest wall pain,Chest wall pain
11717,C0239150,Creatinine low,Creatinine low
11718,C0549399,Low density lipoprotein increased,Low density lipoprotein increased
11719,C0549397,Nasal septum deviation,Nasal septum deviation
11720,C0549391,Bladder discomfort,Bladder discomfort
11721,C0549393,Alcohol problem,Alcohol problem
11722,C0153567,Uterine Cancer,Uterine Cancer
11723,C0877048,Oral fungal infection,Oral fungal infection
11724,C0025209,Melanosis,Melanosis
11725,C0524662,Opiate Addiction,Opiate Addiction
11726,C0038395,Streptococcal Infections,Streptococcal Infections
11727,C0025202,Melanoma,Melanoma
11728,C0005959,Marrow hyperplasia,Marrow hyperplasia
11729,C0032827,Potassium Deficiency,Potassium Deficiency
11730,C0028643,Numbness,Numbness
11731,C0032285,Pneumonia,Pneumonia
11732,C0275524,Coinfection,Coinfection
11733,C0002418,Amblyopia,Amblyopia
11734,C0948525,Musculoskeletal stiffness,Musculoskeletal stiffness
11735,C0018378,Guillain-Barre Syndrome,Guillain-Barre Syndrome
11736,C0018379,Guilt,Guilt
11737,C0040261,Onychomycosis,Onychomycosis
11738,C0268732,Nephritic syndrome,Nephritic syndrome
11739,C1332166,Adenocarcinoma of the gastroesophageal junction,Adenocarcinoma of the gastroesophageal junction
11740,C0852192,Asthenic conditions,Asthenic conditions
11741,C0271412,Ear haemorrhage,Ear haemorrhage
11742,C1739422,Opioid naive,Opioid naive
11743,C1457883,Aggressive reaction,Aggressive reaction
11744,C0151854,Abnormal platelets,Abnormal platelets
11745,C0017178,Gastrointestinal Diseases,Gastrointestinal Diseases
11746,C0151529,Bleeding time prolonged,Bleeding time prolonged
11747,C0849918,Eyelids pruritus,Eyelids pruritus
11748,C0151526,Premature Birth,Premature Birth
11749,C0151521,Overgrowth bacterial,Overgrowth bacterial
11750,C0011616,Contact Dermatitis,Contact Dermatitis
11751,C0151671,Glucose tolerance decreased,Glucose tolerance decreased
11752,C0011615,"Dermatitis, Atopic","Dermatitis, Atopic"
11753,C0035579,Rickets,Rickets
11754,C1096616,Contralateral breast cancer,Contralateral breast cancer
11755,C0018800,Cardiomegaly,Cardiomegaly
11756,C0018801,Heart failure,Heart failure
11757,C0018802,Congestive heart failure,Congestive heart failure
11758,C0023067,Laryngitis,Laryngitis
11759,C0080203,Tachyarrhythmia,Tachyarrhythmia
11760,C0860210,Granulomatous liver disease,Granulomatous liver disease
11761,C0026838,Muscle Spasticity,Muscle Spasticity
11762,C0041747,Unplanned pregnancy,Unplanned pregnancy
11763,C0026837,Muscle Rigidity,Muscle Rigidity
11764,C0392445,Necrobiosis Lipoidica Diabeticorum,Necrobiosis Lipoidica Diabeticorum
11765,C0235453,Steroid withdrawal syndrome,Steroid withdrawal syndrome
11766,C0009326,Collagen Diseases,Collagen Diseases
11767,C0009324,Ulcerative Colitis,Ulcerative Colitis
11768,C0220650,Metastatic malignant neoplasm to brain,Metastatic malignant neoplasm to brain
11769,C0235293,Taste peculiar,Taste peculiar
11770,C0235290,Taste bitter,Taste bitter
11771,C0235295,Abdominal distress,Abdominal distress
11772,C0451641,Urolithiasis,Urolithiasis
11773,C0343886,Gastrointestinal candidiasis,Gastrointestinal candidiasis
11774,C0265110,Cerebral Vasospasm,Cerebral Vasospasm
11775,C0549622,Sexual Dysfunction,Sexual Dysfunction
11776,C0339916,Viral upper respiratory tract infection,Viral upper respiratory tract infection
11777,C0031256,Petechiae,Petechiae
11778,C0032326,Pneumothorax,Pneumothorax
11779,C0020461,Hyperkalemia,Hyperkalemia
11780,C1096272,Vanishing bile duct syndrome,Vanishing bile duct syndrome
11781,C0037011,Shoulder Pain,Shoulder Pain
11782,C0003123,Anorexia,Anorexia
11783,C0003126,Anosmia,Anosmia
11784,C0026946,Mycoses,Mycoses
11785,C0023467,"Leukemia, Myelocytic, Acute","Leukemia, Myelocytic, Acute"
11786,C0026948,Mycosis Fungoides,Mycosis Fungoides
11787,C0235074,Tongue paralysis,Tongue paralysis
11788,C0220994,Hyperammonemia,Hyperammonemia
11789,C0264886,Conduction disorder of the heart,Conduction disorder of the heart
11790,C0007137,Squamous cell carcinoma,Squamous cell carcinoma
11791,C0007131,Non-Small Cell Lung Carcinoma,Non-Small Cell Lung Carcinoma
11792,C1167779,Neutropenic infection,Neutropenic infection
11793,C0242698,"Ventricular Dysfunction, Left","Ventricular Dysfunction, Left"
11794,C0235706,Back distress,Back distress
11795,C0038354,Stomach Diseases,Stomach Diseases
11796,C0016242,Vitreous floaters,Vitreous floaters
11797,C0221016,Red blood cell disorders,Red blood cell disorders
11798,C0039621,Tetany,Tetany
11799,C0392699,Dysesthesia,Dysesthesia
11800,C0031212,Personality Disorders,Personality Disorders
11801,C0278151,Facial muscle spasm,Facial muscle spasm
11802,C0027947,Neutropenia,Neutropenia
11803,C0007222,Cardiovascular Diseases,Cardiovascular Diseases
11804,C0851536,Administration site reaction,Administration site reaction
11805,C0233459,Emotional disorder,Emotional disorder
11806,C0851444,Allergic conditions,Allergic conditions
11807,C0221785,Ache wrists,Ache wrists
11808,C0239940,Glycosylated haemoglobin increased,Glycosylated haemoglobin increased
11809,C0151602,Swelling face,Swelling face
11810,C0011644,Scleroderma,Scleroderma
11811,C0162529,"Colitis, Ischemic","Colitis, Ischemic"
11812,C0272195,Eosinopenia,Eosinopenia
11813,C1956391,Temporal Arteritis,Temporal Arteritis
11814,C0159056,Abnormal chest sounds,Abnormal chest sounds
11815,C0017565,Gingival Hemorrhage,Gingival Hemorrhage
11816,C0314719,Dryness of eye,Dryness of eye
11817,C0010709,Cyst,Cyst
11818,C0008301,Choking,Choking
11819,C0233632,Disturbance in thinking,Disturbance in thinking
11820,C0233633,Thought retardation,Thought retardation
11821,C0038663,Suicide attempt,Suicide attempt
11822,C0038661,Suicide,Suicide
11823,C0023518,Leukocytosis,Leukocytosis
11824,C0002957,Anger,Anger
11825,C0020649,Hypotension,Hypotension
11826,C0870082,Hyperkeratosis,Hyperkeratosis
11827,C1443060,Feeling abnormal,Feeling abnormal
11828,C0541881,Difficulty focusing eyes,Difficulty focusing eyes
11829,C0162298,Joint stiffness,Joint stiffness
11830,C0162297,Respiratory arrest,Respiratory arrest
11831,C0034628,Radius Fractures,Radius Fractures
11832,C0236720,Hallucinogen Persisting Perception Disorder,Hallucinogen Persisting Perception Disorder
11833,C0008513,Chorioretinitis,Chorioretinitis
11834,C3251821,Catatonic reaction,Catatonic reaction
11835,C0555971,Oral infection,Oral infection
11836,C0221278,Anisocytosis,Anisocytosis
11837,C2732728,Body height decreased,Body height decreased
11838,C0014394,Enuresis,Enuresis
11839,C0152198,Accommodation disorder,Accommodation disorder
11840,C0015263,"Bronchospasm, Exercise-Induced","Bronchospasm, Exercise-Induced"
11841,C0391839,Partial pressure CO2 result,Partial pressure CO2 result
11842,C0239833,Hand pain,Hand pain
11843,C0728899,Intoxication,Intoxication
11844,C0424000,Feeling suicidal (finding),Feeling suicidal (finding)
11845,C1704321,"Nephrotic Syndrome, Minimal Change","Nephrotic Syndrome, Minimal Change"
11846,C0019348,Herpes Simplex Infections,Herpes Simplex Infections
11847,C0043117,"Purpura, Thrombocytopenic, Idiopathic","Purpura, Thrombocytopenic, Idiopathic"
11848,C0042420,Vasovagal syncope,Vasovagal syncope
11849,C0019340,Herpes,Herpes
11850,C0025320,Menopause,Menopause
11851,C0025323,Menorrhagia,Menorrhagia
11852,C0553690,Reversible ischemic neurologic deficit (R.I.N.D.) syndrome,Reversible ischemic neurologic deficit (R.I.N.D.) syndrome
11853,C0152517,Viral diarrhoea,Viral diarrhoea
11854,C0004238,Atrial Fibrillation,Atrial Fibrillation
11855,C0004239,Atrial Flutter,Atrial Flutter
11856,C0332534,Induration,Induration
11857,C0079102,Cerebral Thrombosis,Cerebral Thrombosis
11858,C0853019,Blood thyroid stimulating hormone increased,Blood thyroid stimulating hormone increased
11859,C0021359,Infertility,Infertility
11860,C0276680,Candida albicans infection,Candida albicans infection
11861,C0002064,"Alkalosis, Respiratory","Alkalosis, Respiratory"
11862,C0002063,Alkalosis,Alkalosis
11863,C0410198,Proximal myopathy,Proximal myopathy
11864,C0162830,"Dermatitis, Phototoxic","Dermatitis, Phototoxic"
11865,C0856882,Potassium increased,Potassium increased
11866,C0520806,"Sudden death, cause unknown","Sudden death, cause unknown"
11867,C0162834,Hyperpigmentation,Hyperpigmentation
11868,C0027540,Necrosis,Necrosis
11869,C0403673,Retrograde ejaculation,Retrograde ejaculation
11870,C0085819,Antibiotic-Associated Colitis,Antibiotic-Associated Colitis
11871,C0231749,Knee pain,Knee pain
11872,C0013604,Edema,Edema
11873,C0235401,Glucose tolerance abnormal,Glucose tolerance abnormal
11874,C0232431,Cold sweat,Cold sweat
11875,C1609496,Eyelid exfoliation,Eyelid exfoliation
11876,C0687133,Drug Interactions,Drug Interactions
11877,C0005944,Metabolic Bone Disorder,Metabolic Bone Disorder
11878,C0015469,Facial paralysis,Facial paralysis
11879,C0334082,"NEVUS, EPIDERMAL (disorder)","NEVUS, EPIDERMAL (disorder)"
11880,C0005940,Bone Diseases,Bone Diseases
11881,C0042514,"Tachycardia, Ventricular","Tachycardia, Ventricular"
11882,C0159877,Ankle Fractures,Ankle Fractures
11883,C0521509,Injection site induration,Injection site induration
11884,C0853908,Oropharyngeal swelling,Oropharyngeal swelling
11885,C0042510,Ventricular Fibrillation,Ventricular Fibrillation
11886,C0032290,Aspiration Pneumonia,Aspiration Pneumonia
11887,C2939147,Feels hot,Feels hot
11888,C0022073,Iridocyclitis,Iridocyclitis
11889,C0577115,Soft stool (finding),Soft stool (finding)
11890,C0014733,Erysipelas,Erysipelas
11891,C0013428,Dysuria,Dysuria
11892,C1456784,Paranoia,Paranoia
11893,C0522224,Paralysed,Paralysed
11894,C0002792,Anaphylaxis,Anaphylaxis
11895,C0087169,Withdrawal Symptoms,Withdrawal Symptoms
11896,C0043241,Wound Infection,Wound Infection
11897,C0853348,Arthropod bite,Arthropod bite
11898,C0002880,Autoimmune hemolytic anemia,Autoimmune hemolytic anemia
11899,C0232726,Rectal tenesmus,Rectal tenesmus
11900,C0002884,Hypochromic anemia,Hypochromic anemia
11901,C0002888,"Anemia, Megaloblastic","Anemia, Megaloblastic"
11902,C0151467,Addisonian crisis,Addisonian crisis
11903,C0151463,Breast abscess,Breast abscess
11904,C0232943,Menometrorrhagia,Menometrorrhagia
11905,C0878544,Cardiomyopathies,Cardiomyopathies
11906,C0022104,Irritable Bowel Syndrome,Irritable Bowel Syndrome
11907,C0007095,Carcinoid Tumor,Carcinoid Tumor
11908,C0022107,Irritable Mood,Irritable Mood
11909,C0018965,Hematuria,Hematuria
11910,C1696701,Dermatillomania,Dermatillomania
11911,C0595929,Cholesterol serum elevated,Cholesterol serum elevated
11912,C0024894,Mastitis,Mastitis
11913,C0022661,"Kidney Failure, Chronic","Kidney Failure, Chronic"
11914,C0027769,Nervousness,Nervousness
11915,C0238051,Cerebral Angiitis,Cerebral Angiitis
11916,C0231365,Alteration in patterns of urinary elimination,Alteration in patterns of urinary elimination
11917,C0027765,Nervous system disorder,Nervous system disorder
11918,C0151510,Adrenal cortex atrophy,Adrenal cortex atrophy
11919,C0151511,Atrophy of breast,Atrophy of breast
11920,C0849907,Ear pruritus,Ear pruritus
11921,C0151517,Complete atrioventricular block,Complete atrioventricular block
11922,C0151514,Atrophic condition of skin,Atrophic condition of skin
11923,C0013132,Drooling,Drooling
11924,C0086543,Cataract,Cataract
11925,C0151888,Hyporeflexia,Hyporeflexia
11926,C0151889,Hyperreflexia,Hyperreflexia
11927,C0011606,Exfoliative dermatitis,Exfoliative dermatitis
11928,C0011603,Dermatitis,Dermatitis
11929,C1306341,Mental handicap,Mental handicap
11930,C0151882,Purpuric rash,Purpuric rash
11931,C0151883,Vesiculobullous rash,Vesiculobullous rash
11932,C0011609,Drug Eruptions,Drug Eruptions
11933,C3203358,Hypoventilation,Hypoventilation
11934,C0544618,Orthostatic hypertension,Orthostatic hypertension
11935,C0346647,Malignant neoplasm of pancreas,Malignant neoplasm of pancreas
11936,C0877854,Cerebral Arteriosclerosis,Cerebral Arteriosclerosis
11937,C0018813,Myocardial rupture,Myocardial rupture
11938,C0006142,Malignant neoplasm of breast,Malignant neoplasm of breast
11939,C0860207,Drug-Induced Liver Injury,Drug-Induced Liver Injury
11940,C0009319,Colitis,Colitis
11941,C0006147,Breast Feeding,Breast Feeding
11942,C0006145,Breast Diseases,Breast Diseases
11943,C0026827,Muscle hypotonia,Muscle hypotonia
11944,C0026826,Muscle Hypertonia,Muscle Hypertonia
11945,C0026821,Muscle Cramp,Muscle Cramp
11946,C0948266,Latent tetany,Latent tetany
11947,C3665347,Visual Impairment,Visual Impairment
11948,C1096282,Medication residue,Medication residue
11949,C0018418,Gynecomastia,Gynecomastia
11950,C0235280,Ototoxicity,Ototoxicity
11951,C0700200,Presyncope,Presyncope
11952,C0235667,Mastitis acute female,Mastitis acute female
11953,C1320835,Drug fever,Drug fever
11954,C0235660,Galactorrhea not associated with childbirth,Galactorrhea not associated with childbirth
11955,C0919659,Oropharyngeal candidiasis,Oropharyngeal candidiasis
11956,C0948281,Malignant syndrome,Malignant syndrome
11957,C0042998,Vulvovaginitis,Vulvovaginitis
11958,C0520573,Buffalo hump,Buffalo hump
11959,C0270549,Generalized Anxiety Disorder,Generalized Anxiety Disorder
11960,C0007302,Cartilage Diseases,Cartilage Diseases
11961,C0476254,Dyslexia,Dyslexia
11962,C0235063,Respiratory Depression,Respiratory Depression
11963,C0235068,"Scotoma, Scintillating","Scotoma, Scintillating"
11964,C0007124,Noninfiltrating Intraductal Carcinoma,Noninfiltrating Intraductal Carcinoma
11965,C0243026,Sepsis,Sepsis
11966,C0235710,Chest discomfort,Chest discomfort
11967,C0011551,Depersonalization,Depersonalization
11968,C0020452,Hyperemia,Hyperemia
11969,C0010828,Cytopenia,Cytopenia
11970,C0041349,"Nephritis, Tubulointerstitial","Nephritis, Tubulointerstitial"
11971,C0730328,Central Serous Chorioretinopathy,Central Serous Chorioretinopathy
11972,C0155616,Secondary hypertension,Secondary hypertension
11973,C0029163,Oral Hemorrhage,Oral Hemorrhage
11974,C0233414,Disturbance in attention,Disturbance in attention
11975,C0020255,Hydrocephalus,Hydrocephalus
11976,C0392684,Pulse irregular,Pulse irregular
11977,C0541941,Erection increased,Erection increased
11978,C0281774,Acute psychosis,Acute psychosis
11979,C0281773,Acute glaucoma,Acute glaucoma
11980,C0006325,Bruxism,Bruxism
11981,C0025637,Methemoglobinemia,Methemoglobinemia
11982,C0423602,Sensation of foreign body,Sensation of foreign body
11983,C0234533,Generalized seizures,Generalized seizures
11984,C0234535,"Seizures, Clonic","Seizures, Clonic"
11985,C1262535,Jaundice hepatocellular,Jaundice hepatocellular
11986,C0037036,Sialorrhea,Sialorrhea
11987,C0162119,Haemoglobin decreased,Haemoglobin decreased
11988,C0349231,Phobic anxiety disorder,Phobic anxiety disorder
11989,C0595930,Blood cholesterol increased,Blood cholesterol increased
11990,C0024312,Lymphopenia,Lymphopenia
11991,C0341742,Acute retention of urine,Acute retention of urine
11992,C0020639,Hypoproteinemia,Hypoproteinemia
11993,C1735647,Mixed liver injury,Mixed liver injury
11994,C0234047,Ejaculation delayed,Ejaculation delayed
11995,C0036980,"Shock, Cardiogenic","Shock, Cardiogenic"
11996,C0036454,Scotoma,Scotoma
11997,C0235848,Skin cold clammy,Skin cold clammy
11998,C0008526,Choroiditis,Choroiditis
11999,C0034634,Rage,Rage
12000,C0238106,Clostridium difficile colitis,Clostridium difficile colitis
12001,C0149866,Chemical conjunctivitis,Chemical conjunctivitis
12002,C0476089,Endometrial Carcinoma,Endometrial Carcinoma
12003,C0155169,Ocular hyperemia,Ocular hyperemia
12004,C0233715,Speech impairment,Speech impairment
12005,C0221201,Macular rash,Macular rash
12006,C0233718,Pressure of speech,Pressure of speech
12007,C0522055,Electrocardiogram abnormal,Electrocardiogram abnormal
12008,C0520966,Abnormal coordination,Abnormal coordination
12009,C0520962,Pain localised,Pain localised
12010,C0553732,Prothrombin level decreased,Prothrombin level decreased
12011,C0857121,Hypertensive (finding),Hypertensive (finding)
12012,C0015256,Excoriation,Excoriation
12013,C0001622,Adrenal Gland Hyperfunction,Adrenal Gland Hyperfunction
12014,C0522058,Carbohydrate craving,Carbohydrate craving
12015,C0851710,Exfoliative conditions,Exfoliative conditions
12016,C2830004,Somnolence,Somnolence
12017,C0010043,Corneal Ulcer,Corneal Ulcer
12018,C0236663,Alcohol withdrawal syndrome,Alcohol withdrawal syndrome
12019,C0085166,Bacterial Vaginosis,Bacterial Vaginosis
12020,C0272774,Foot fracture,Foot fracture
12021,C0239488,Erythema facial,Erythema facial
12022,C0221512,Stomach ache,Stomach ache
12023,C0178416,Hypoplastic anemia,Hypoplastic anemia
12024,C0178417,Anhedonia,Anhedonia
12025,C0015672,Fatigue,Fatigue
12026,C0877664,Gastrointestinal cramps,Gastrointestinal cramps
12027,C1510410,Sense of smell altered,Sense of smell altered
12028,C0151830,Pain in urethra,Pain in urethra
12029,C0236124,Gastrointestinal obstruction,Gastrointestinal obstruction
12030,C0858589,Coordination disturbance,Coordination disturbance
12031,C0549376,Plasma osmolality decreased,Plasma osmolality decreased
12032,C0549374,Lumbar disc lesion,Lumbar disc lesion
12033,C0281825,Dysequilibrium,Dysequilibrium
12034,C0042075,Urologic Diseases,Urologic Diseases
12035,C0948294,Eyelid margin crusting,Eyelid margin crusting
12036,C0342257,Complications of Diabetes Mellitus,Complications of Diabetes Mellitus
12037,C0014724,Eructation,Eructation
12038,C0013384,Dyskinetic syndrome,Dyskinetic syndrome
12039,C0032519,Polymenorrhea,Polymenorrhea
12040,C0151898,Schizophrenic reaction,Schizophrenic reaction
12041,C0853755,Blood osmolarity decreased,Blood osmolarity decreased
12042,C0015923,Fetal Alcohol Syndrome,Fetal Alcohol Syndrome
12043,C0015927,Fetal Death,Fetal Death
12044,C0600041,Infective cystitis,Infective cystitis
12045,C0149745,Oral Ulcer,Oral Ulcer
12046,C0241310,Suprapubic pain,Suprapubic pain
12047,C0035459,"Rhinitis, Atrophic","Rhinitis, Atrophic"
12048,C0043251,Wounds and Injuries,Wounds and Injuries
12049,C0043250,Injury wounds,Injury wounds
12050,C0917798,Cerebral Ischemia,Cerebral Ischemia
12051,C0917799,Hypersomnia,Hypersomnia
12052,C0274435,Transfusion Reaction,Transfusion Reaction
12053,C0022660,"Kidney Failure, Acute","Kidney Failure, Acute"
12054,C0022665,Kidney Neoplasm,Kidney Neoplasm
12055,C0272426,Mouth injury,Mouth injury
12056,C0017601,Glaucoma,Glaucoma
12057,C0017605,Angle Closure Glaucoma,Angle Closure Glaucoma
12058,C0022116,Ischemia,Ischemia
12059,C0028754,Obesity,Obesity
12060,C0151872,Prothrombin level increased,Prothrombin level increased
12061,C0151878,Electrocardiogram QT prolonged,Electrocardiogram QT prolonged
12062,C0151505,Application site reaction,Application site reaction
12063,C0231170,Disability,Disability
12064,C0151500,Anticholinergic Syndrome,Anticholinergic Syndrome
12065,C0013144,Drowsiness,Drowsiness
12066,C0150055,Chronic pain,Chronic pain
12067,C0013146,Drug abuse,Drug abuse
12068,C0854114,Corneal epithelium defect,Corneal epithelium defect
12069,C0151899,Syndrome screaming,Syndrome screaming
12070,C0009782,Connective Tissue Diseases,Connective Tissue Diseases
12071,C0026764,Multiple Myeloma,Multiple Myeloma
12072,C0026766,Multiple Organ Failure,Multiple Organ Failure
12073,C0006152,Breast swelling,Breast swelling
12074,C0026769,Multiple Sclerosis,Multiple Sclerosis
12075,C0151479,Amylase increased,Amylase increased
12076,C0151478,Neurotransmitter level altered,Neurotransmitter level altered
12077,C0231710,Pain in buttock,Pain in buttock
12078,C1522133,Hypercholesterolemia result,Hypercholesterolemia result
12079,C0600260,"Lung Diseases, Obstructive","Lung Diseases, Obstructive"
12080,C0032776,Postmenopausal haemorrhage,Postmenopausal haemorrhage
12081,C0151474,Alcohol intolerance,Alcohol intolerance
12082,C0151477,Hormone level abnormal,Hormone level abnormal
12083,C0009492,Compartment syndromes,Compartment syndromes
12084,C0750426,White blood cell count increased (lab result),White blood cell count increased (lab result)
12085,C0917801,Sleeplessness,Sleeplessness
12086,C0235490,Peripheral ischaemia,Peripheral ischaemia
12087,C0242459,Simple Pulmonary Eosinophilia,Simple Pulmonary Eosinophilia
12088,C0035204,Respiration Disorders,Respiration Disorders
12089,C0574002,Edema of foot (finding),Edema of foot (finding)
12090,C0948296,Ear discomfort,Ear discomfort
12091,C1096250,Gastrointestinal discomfort,Gastrointestinal discomfort
12092,C0034359,Pyuria,Pyuria
12093,C0694536,Drug seeking behavior,Drug seeking behavior
12094,C0028173,"Nitrogen, non-protein, increased level result","Nitrogen, non-protein, increased level result"
12095,C0235475,Electrocardiogram QRS complex prolonged,Electrocardiogram QRS complex prolonged
12096,C0041657,Unconscious State,Unconscious State
12097,C0525045,Mood Disorders,Mood Disorders
12098,C3544214,Reversible cerebral vasoconstriction syndrome,Reversible cerebral vasoconstriction syndrome
12099,C0026961,Mydriasis,Mydriasis
12100,C0234632,Visual acuity reduced,Visual acuity reduced
12101,C0270846,Atonic seizures,Atonic seizures
12102,C0007682,CNS disorder,CNS disorder
12103,C0542052,Coronary artery insufficiency,Coronary artery insufficiency
12104,C0339807,House dust allergy,House dust allergy
12105,C0748726,Allergic sinusitis,Allergic sinusitis
12106,C0278134,Absence of sensation,Absence of sensation
12107,C0744130,Diabetic foot infection,Diabetic foot infection
12108,C0702166,Acne,Acne
12109,C0238309,Ischaemic neuropathy,Ischaemic neuropathy
12110,C0242528,Azotemia,Azotemia
12111,C0476273,Respiratory distress,Respiratory distress
12112,C0235270,Keratopathy,Keratopathy
12113,C0392674,Exhaustion,Exhaustion
12114,C0392676,Hyperpyrexia,Hyperpyrexia
12115,C0948856,Orgasmic sensation decreased,Orgasmic sensation decreased
12116,C0023222,Pain in lower limb,Pain in lower limb
12117,C0854382,Libido disorder,Libido disorder
12118,C0854381,Genital hemorrhage,Genital hemorrhage
12119,C0020538,Hypertensive disease,Hypertensive disease
12120,C0338908,Anxiety depression,Anxiety depression
12121,C0271429,Otitis media acute,Otitis media acute
12122,C0235653,Malignant neoplasm of female breast,Malignant neoplasm of female breast
12123,C0234708,Intraocular pressure increased,Intraocular pressure increased
12124,C1619712,Procedural pain,Procedural pain
12125,C0037023,Sialadenitis,Sialadenitis
12126,C0542476,Forgetfulness,Forgetfulness
12127,C1145628,Autonomic nervous system disorders,Autonomic nervous system disorders
12128,C0585186,Cutaneous hypersensitivity,Cutaneous hypersensitivity
12129,C0011124,Decreased Libido,Decreased Libido
12130,C0542184,Reaction gastrointestinal,Reaction gastrointestinal
12131,C1386135,Acute depression,Acute depression
12132,C0595928,Serum calcium increased,Serum calcium increased
12133,C0020625,Hyponatremia,Hyponatremia
12134,C0020624,Hypomenorrhea,Hypomenorrhea
12135,C0020621,Hypokalemia,Hypokalemia
12136,C0020620,Hypohidrosis,Hypohidrosis
12137,C0023532,"Leukoplakia, Oral","Leukoplakia, Oral"
12138,C0023533,Leukorrhea,Leukorrhea
12139,C0023530,Leukopenia,Leukopenia
12140,C0744403,Gingival infection,Gingival infection
12141,C0004144,Atelectasis,Atelectasis
12142,C0151904,Aspartate aminotransferase increased,Aspartate aminotransferase increased
12143,C0239725,Genital pain,Genital pain
12144,C0235876,Depression aggravated,Depression aggravated
12145,C0920171,Foreign body sensation in eyes,Foreign body sensation in eyes
12146,C0235874,Disease Exacerbation,Disease Exacerbation
12147,C0548823,Distress gastrointestinal,Distress gastrointestinal
12148,C0034642,Rales,Rales
12149,C0024437,Macular degeneration,Macular degeneration
12150,C0233767,"Hallucinations, Tactile","Hallucinations, Tactile"
12151,C0233762,"Hallucinations, Auditory","Hallucinations, Auditory"
12152,C0233763,"Hallucinations, Visual","Hallucinations, Visual"
12153,C0434437,Joint sprain,Joint sprain
12154,C0860942,Creatine increased,Creatine increased
12155,C0553721,Sweating decreased,Sweating decreased
12156,C0034212,Pyoderma,Pyoderma
12157,C0038273,Stereotypic Movement Disorder,Stereotypic Movement Disorder
12158,C0232849,Bladder pain,Bladder pain
